Hit List: Data Accesses Internal / ...

	Hits	Gross [microsec]	Net [microsec]	Gross [%]	Net [%]	Statement/Event	Program Called	Calling Program
	  2	          2,641	          120	     0.03	  <0.01	Select Single I_PRODUCT	YCL_MB_MIGO_BADI_LOGIC========CP	YCL_MB_MIGO_BADI_LOGIC========CP
	  2	          1,683	          117	     0.02	  <0.01	Open Cursor /SCDL/DB_PROCH_I	/MERP/CL_EWM_DLV_EX_HNDLR=====CP	/MERP/CL_EWM_DLV_EX_HNDLR=====CP
	  2	          2,457	          117	     0.03	  <0.01	Fetch MAKT	SAPLMG23	SAPLMG23
	  1	          2,319	          116	     0.03	  <0.01	Fetch CKMLPR	SAPLCKMS	SAPLCKMS
	  1	          2,127	          116	     0.03	  <0.01	Fetch FLOG_SUPLRITEM	CL_IM_FLOG_SRV_GR_BADI========CP	CL_IM_FLOG_SRV_GR_BADI========CP
	  1	          1,757	          115	     0.02	  <0.01	Open Cursor CABN	SAPLCLSE	SAPLCLSE
	  1	          1,398	          115	     0.02	  <0.01	Open Cursor NRIVSHADOW	SAPLSNR3	SAPLSNR3
	  2	          3,203	          114	     0.04	  <0.01	Select Single I_PRODUCT	YCL_MB_MIGO_BADI_LOGIC========CP	YCL_MB_MIGO_BADI_LOGIC========CP
	  1	            114	          114	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	/MFND/CL_CORE_OMDO_UTIL=======CP	/MFND/CL_CORE_OMDO_UTIL=======CP
	  2	          2,566	          113	     0.03	  <0.01	Open Cursor NRIV	SAPLSNR3	SAPLSNR3
	 23	            113	          113	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	YCL_MB_DOCUMENT_BADI==========CP	YCL_MB_DOCUMENT_BADI==========CP
	  1	            113	          113	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_ACE_CFG_DB_BUFFER==========CP	CL_ACE_CFG_DB_BUFFER==========CP
	  1	            113	          113	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	SAPLV01D	SAPLV01D
	  2	          1,394	          113	     0.02	  <0.01	Open Cursor /SYCLO/CA003M	/SYCLO/CB_CORE_PERS_CA003M====CP	/SYCLO/CB_CORE_PERS_CA003M====CP
	 65	            112	          112	    <0.01	  <0.01	Export To Memory cntl_evt_callback	SAPLCNT0	SAPLCNT0
	  2	          1,357	          112	     0.02	  <0.01	Open Cursor /SMFND/C_DFA01	/SMFND/CL_SDF_BOM_DFAGENT_CFG=CP	/SMFND/CL_SDF_BOM_DFAGENT_CFG=CP
	 32	            111	          111	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	SAPLOIB_QCI	SAPLOIB_QCI
	  2	          3,003	          111	     0.04	  <0.01	Select Single /MERP/EWM_HU_EX	/SYCLO/CL_CORE_EX_HANDLER_BASECP	/SYCLO/CL_CORE_EX_HANDLER_BASECP
	  2	          1,620	          110	     0.02	  <0.01	Open Cursor I_PRODUCT	ZCL_VALIDATE_MATDOC===========CP	ZCL_VALIDATE_MATDOC===========CP
	320	            109	          109	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_FML_CVTYP_FACADE===========CP	CL_FML_CVTYP_FACADE===========CP
	107	            260	          109	    <0.01	  <0.01	Close Cursor DDFTX	CL_DD_TEXT_PROVIDER===========CP	CL_DD_TEXT_PROVIDER===========CP
	  1	          6,981	          109	     0.09	  <0.01	Fetch /SAPAPO/MARM	/SAPAPO/SAPLDM_MATERIAL	/SAPAPO/SAPLDM_MATERIAL
	  1	          2,391	          108	     0.03	  <0.01	Fetch KLAH	SAPLCLSE	SAPLCLSE
	  1	          2,442	          108	     0.03	  <0.01	Fetch CAWN	SAPLCLSE	SAPLCLSE
	  3	          2,342	          108	     0.03	  <0.01	Select Single RFCDES	CL_DEST_ROOT==================CP	CL_DEST_ROOT==================CP
	  1	            108	          108	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	/SYCLO/CL_CORE_BOM_MOBILEAPP==CP	/SYCLO/CL_CORE_BOM_MOBILEAPP==CP
	  1	          1,266	          107	     0.02	  <0.01	Open Cursor /UTGFR/T_EXTCONF	/UTGFR/CL_DERIVE_FERCACC======CP	/UTGFR/CL_DERIVE_FERCACC======CP
	  4	          2,247	          107	     0.03	  <0.01	DB Buffer: Load TABL LOAD	ZCL_OIL_MATERIAL_PROCESS======CP	ZCL_OIL_MATERIAL_PROCESS======CP
	  2	          3,392	          107	     0.04	  <0.01	Open Cursor MARCO1	SAPLOIB_MM	SAPLOIB_MM
	  1	          2,131	          106	     0.03	  <0.01	Fetch MCHA	SAPLMATL	SAPLMATL
	 23	            106	          106	    <0.01	  <0.01	DB Buffer: Get TABLP GET	SAPMM07M	SAPMM07M
	 17	            106	          106	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	YCL_MB_DOCUMENT_BADI==========CP	YCL_MB_DOCUMENT_BADI==========CP
	  2	          2,849	          105	     0.04	  <0.01	Select Single I_PRODUCTVALUATIONBASIC	YCL_MB_MIGO_BADI_LOGIC========CP	YCL_MB_MIGO_BADI_LOGIC========CP
	  1	          2,134	          105	     0.03	  <0.01	Select Single /SCWM/LAGP	/SCWM/SAPLBIN_FUNC	/SCWM/SAPLBIN_FUNC
	 17	            105	          105	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	SAPLZFG_TAX_GL	SAPLZFG_TAX_GL
	  3	          2,133	          105	     0.03	  <0.01	Select Single /SYCLO/YCA002	/SYCLO/CL_CORE_BOM_EXCHOBJ====CP	/SYCLO/CL_CORE_BOM_EXCHOBJ====CP
	  1	          2,215	          104	     0.03	  <0.01	Select Single PROGDIR	/SCWM/CL_TM_TOOLS=============CP	/SCWM/CL_TM_TOOLS=============CP
	 17	            104	          104	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	ZCL_MIGO_BADI_HT_MODIFY=======CP	ZCL_MIGO_BADI_HT_MODIFY=======CP
	  1	          2,184	          104	     0.03	  <0.01	Fetch DD02L	RADBTDDF	RADBTDDF
	  1	            104	          104	    <0.01	  <0.01	Export To Data Buffer TO DATA BUFFER	CL_RFC_RECORDER===============CP	CL_RFC_RECORDER===============CP
	  1	          2,667	          103	     0.03	  <0.01	Select Single NRIV	SAPLSNR3	SAPLSNR3
	  2	          2,383	          103	     0.03	  <0.01	Select Single V_MCHB_MD_PER	CL_NSDM_SELECT_MCHB===========CP	CL_NSDM_SELECT_MCHB===========CP
	  3	          2,024	          102	     0.03	  <0.01	Fetch KLAT	SAPLCLSE	SAPLCLSE
	  3	          2,956	          102	     0.04	  <0.01	Fetch DD01T	RADBTDDF	RADBTDDF
	  1	          2,115	          101	     0.03	  <0.01	Select Single TADIR	CX_SADL_NO_DATA_FROM_DDIC=====CP	CX_SADL_NO_DATA_FROM_DDIC=====CP
	  1	          2,325	          101	     0.03	  <0.01	Fetch KSML	SAPLCLSE	SAPLCLSE
	 64	            101	          101	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	/QTYW/SAPLTOOLS	/QTYW/SAPLTOOLS
	  1	          7,413	          101	     0.09	  <0.01	Fetch /SAPAPO/MARM	/SAPAPO/SAPLDM_MATERIAL	/SAPAPO/SAPLDM_MATERIAL
	  4	            100	          100	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	SAPLSCV0	SAPLSCV0
	 48	            100	          100	    <0.01	  <0.01	DB Buffer: Get TABLP GET	ZCL_DEFAULT_HT_GOODSMVT_CREATECP	ZCL_DEFAULT_HT_GOODSMVT_CREATECP
	  3	          2,529	          100	     0.03	  <0.01	Select Single RFCCHECK	CL_DEST_RFC_ABAP_PARENT=======CP	CL_DEST_RFC_ABAP_PARENT=======CP
	  1	          2,066	           99	     0.03	  <0.01	Fetch MCH1	SAPLMATL	SAPLMATL
